CEP,NUM,LATITUDE,LONGITUDE
65068619,290,-2.4881603,-44.2133506
65040140,289,-2.5460879,-44.2737286
65071377,289,-2.4874754,-44.2717296
65061530,288,-2.5332510,-44.2471811
65061490,288,-2.5857219,-44.1984095
65068096,286,-2.4910864,-44.2219206
65035020,286,-2.5252819,-44.2860444
65045550,285,-2.5408169,-44.2588465
65015270,284,-2.5395431,-44.2959494
65030380,283,-2.5474048,-44.2804268
65055820,283,-2.5662648,-44.2407036
65025190,279,-5.0840520,-48.4281601
65058529,279,-2.5958169,-44.1817839
65042375,277,-2.5508677,-44.2700427
65055190,276,-2.5716179,-44.2270477
65040020,275,-2.5432899,-44.2710342
65063470,275,-2.5332584,-44.2374205
65061550,274,-2.5391099,-44.2829046
65060190,274,-2.5483964,-44.2328876
65077320,272,-2.4923484,-44.3029493
65059812,272,-2.5391099,-44.2829046
65075440,272,-2.4997688,-44.2853314
65061050,271,-2.5391099,-44.2829046
65076132,270,-2.5084599,-44.3040487
65054030,269,-2.5512125,-44.2153425
65070820,266,-2.5663476,-44.3124497
65090575,264,-2.6435965,-44.2773313
65035150,263,-2.5279438,-44.2859075
65057360,261,-2.5570633,-44.2306094
65085470,261,-2.5472901,-44.3296808
65067845,261,-2.4910326,-44.2208853
65065635,260,-2.5099221,-44.2262694
65074710,260,-2.5142146,-44.2652427
65058002,260,-2.5861511,-44.1889738
65076690,259,-2.5072515,-44.3037518
65057682,259,-7.1788332,-48.1927034
65010020,258,-2.5282837,-44.2980071
65051300,257,-2.5336326,-44.2103623
65086300,255,-2.5541731,-44.3289375
65076360,254,-2.5160479,-44.3035415
65085780,253,-2.5224426,-44.2390161
65042854,252,-2.5629309,-44.2659940
65044782,250,-2.5593936,-44.2748796
65082545,250,-2.5491917,-44.3322946
65056200,248,-2.5617130,-44.2199667
65058062,246,-2.5295592,-44.2476130
65075045,246,-2.5391099,-44.2829046
65070000,245,-2.5112313,-44.2360540
65041510,245,-2.5555734,-44.2594227
65058482,243,-2.5948350,-44.1852251
65030440,243,-2.5391099,-44.2829046
65068010,241,-2.4928008,-44.2195820
65056290,241,-2.5636192,-44.2254604
65054090,239,-2.5556587,-44.2163262
65058864,239,-2.5929864,-44.1934618
65070017,237,-2.5201286,-44.2584358
65036190,236,-2.5361836,-44.2686808
65075760,235,-2.4972528,-44.2890049
65010600,234,-2.5293572,-44.3002636
65047170,233,-2.5369638,-44.2369200
65085060,233,-2.5554271,-44.3283734
65060764,230,-2.5416683,-44.2128914
65076445,230,-2.5177286,-44.3033072
65055680,228,-2.5685995,-44.2407937
65086060,227,-2.5615896,-44.3276723
65076240,227,-2.5408169,-44.2588465
65075839,226,-2.4857783,-44.2476681
65036070,225,-2.5390146,-44.2758116
65040822,224,-2.5668868,-44.2672956
65058719,223,-2.5741851,-44.1927745
65035280,222,-2.5279611,-44.2851711
65060541,222,-2.5519974,-44.2330784
65044140,221,-2.5438764,-44.2669334
65025120,221,-2.5380721,-44.2901277
65030620,221,-2.5400327,-44.2828666
65072570,219,-2.4926744,-44.2418962
65080250,219,-2.5575077,-44.3009497
65074795,219,-2.5067788,-44.2685675
65060180,217,-2.5425007,-44.2313290
65085808,216,-2.5623675,-44.3281890
65042871,214,-2.5662701,-44.2733307
65072810,214,-2.5000414,-44.2267767
65040510,214,-2.5552866,-44.2559823
65058012,213,-2.5808676,-44.2005314
65044370,211,-2.5631974,-44.2678981
65036150,210,-2.5348885,-44.2709088
65036281,210,-2.5389649,-44.2675975
65095480,210,-2.6153332,-44.2593405
65065620,210,-2.5165546,-44.2047490
65032740,209,-2.5489724,-44.2893485
65066615,209,-2.5099221,-44.2262694
65058537,209,-2.5867463,-44.1951736
65074380,207,-2.5100892,-44.2511445
65030430,206,-2.5463866,-44.2802962
65058732,206,-2.5667375,-44.1902673
65077450,205,-2.4885961,-44.2991403
65030030,204,-2.5448888,-44.2806591
65062207,204,-2.5244881,-44.2478645
65031660,203,-2.5494587,-44.2879941
65058367,202,-2.5933795,-44.1965888
65058237,201,-2.5738111,-44.2092149
65059827,200,-2.6034294,-44.2118828
65078300,200,-2.5134156,-44.2652610
65072000,200,-2.4900467,-44.2473600
65010040,199,-2.5275773,-44.2990890
65056020,199,-2.5391099,-44.2829046
65095430,199,-2.6100641,-44.2656037
65070070,199,-2.5217739,-44.2648330
65060400,198,-2.5501343,-44.2274113
65046160,198,-2.5443108,-44.2380038
65044110,197,-2.5634501,-44.2630015
65040060,197,-2.5438795,-44.2713515
65085400,196,-2.5567830,-44.3294053
65080240,196,-2.5615228,-44.3015478
65055338,196,-2.5696698,-44.2134339
65044440,196,-2.5652565,-44.2711713
65058017,194,-2.5618959,-44.2370633
65055070,193,-2.5764580,-44.2057870
65035100,193,-2.5272146,-44.2842406
65030690,192,-2.5458136,-44.2868789
65068607,191,-2.6153413,-44.2628041
65030820,191,-2.5440387,-44.2863582
65031510,191,-2.5373602,-44.2809969
65062670,190,-2.5316325,-44.2351858
65061250,190,-2.5321287,-44.2556751
65058848,190,-2.5932536,-44.1921909
65066841,190,-2.4993537,-44.2184978
65041130,190,-2.5558872,-44.2607454
65076010,190,-2.5115939,-44.3012314
65057430,189,-2.5545900,-44.2312345
65035640,187,-2.5398097,-44.2847056
65071750,187,-2.5031162,-44.2693146
65082415,186,-2.5622104,-44.3366638
65051872,185,-2.5449462,-44.2401372
65036260,185,-2.5357203,-44.2740005
65071322,185,-2.4997688,-44.2853314
65036310,185,-2.5375980,-44.2744706
65042862,184,-2.5652926,-44.2690402
65076000,183,-2.5138590,-44.3008668
65045690,183,-2.5458935,-44.2447534
65059410,181,-2.5547191,-44.2293424
65075038,181,-2.4963531,-44.2835810
65055309,181,-2.5741401,-44.2252384
65081700,180,-2.5718662,-44.1832768
65032000,180,-2.5456093,-44.2890425
65057750,180,-2.5970196,-44.2302967
65030005,179,-2.5335053,-44.2854237
65058014,179,-2.5377745,-44.2106925
65025200,179,-2.5371636,-44.2943492
65045420,178,-2.5426623,-44.2517706
65068030,178,-2.4957586,-44.2187626
65090713,178,-2.6319670,-44.2682727
65040800,177,-2.5476936,-44.2719705
65061560,177,-2.5391099,-44.2829046
65075460,177,-2.4993710,-44.2918667
65086090,177,-2.5647420,-44.3247177
65074793,177,-2.5066598,-44.2709346
65037009,176,-5.1568235,-42.7667953
65058013,176,-2.5331179,-44.2779700
65057631,176,-2.5937979,-44.2177315
65058718,175,-2.5775316,-44.1966819
65061031,175,-2.5331175,-44.2577256
65046611,175,-2.5391099,-44.2829046
65082310,175,-2.5461839,-44.3283655
65036815,175,-2.4993268,-44.2759936
65071710,175,-2.4974853,-44.2560044
65061450,174,-2.5321148,-44.2563341
65059857,174,-2.6160506,-44.2048082
65073280,172,-2.5100527,-44.2445926
65058027,172,-2.5722962,-44.2023513
65065200,172,-2.4900808,-44.2236981
65058070,171,-2.5461205,-44.2101699
65055450,171,-2.5737291,-44.2337104
65057639,169,-2.5938173,-44.2194946
65085293,169,-2.5583883,-44.3318811
65074253,168,-2.5025100,-44.2526688
65055459,168,-2.5629207,-44.2360971
65066265,168,-2.5151987,-44.2351970
65085420,167,-2.5554092,-44.3265746
65060645,167,-2.5203412,-44.2502373
65057755,166,-2.5979698,-44.2315529
65080280,166,-2.5391099,-44.2829046
65060680,166,-2.5416757,-44.2263445
65054040,165,-2.5515959,-44.2109017
65025250,165,-2.5369147,-44.2882332
65059817,165,-2.5391099,-44.2829046
65068014,165,-2.4900808,-44.2236981
65077310,165,-2.4919273,-44.3062247
65055380,165,-2.5739332,-44.2273085
65047760,165,-2.5473609,-44.2459541
65036730,165,-2.5350380,-44.2678274
65060071,164,-2.5159463,-44.3039630
65077554,164,-2.5028625,-44.3152614
65058260,164,-2.5738126,-44.2091966
65057652,163,-2.5948034,-44.2228752
65086080,162,-2.5512819,-44.3291175
65031650,162,-2.5360309,-44.2853880
65057040,162,-2.5584411,-44.2330972
65076530,161,-2.5083848,-44.3092861
65070019,161,-2.5216646,-44.2551219
65041330,160,-2.5648535,-44.2711344
65076220,160,-2.5168463,-44.3070195
65060867,159,-2.5439293,-44.2247123
65076735,159,-2.5391099,-44.2829046
65080110,158,-2.5563538,-44.3012908
65060660,158,-2.5468644,-44.2294209
65076820,158,-2.5391099,-44.2829046
65095152,158,-2.6055280,-44.2123555
65041293,157,-2.5479029,-44.2721254
65080748,157,-2.5618134,-44.3216516
65053240,156,-27.8126534,-50.3135915
65075800,155,-2.4997474,-44.2888699
65057753,154,-2.5963333,-44.2311377
65085074,154,-2.5582483,-44.3305299
65020190,154,-2.5321397,-44.2880595
65055326,153,-2.5676043,-44.2223632
65061238,153,-2.5089127,-44.2391059
65092030,153,-2.6322513,-44.2851289
65015330,153,-2.5345236,-44.2969672
65058181,152,-2.5738126,-44.2091966
65092610,152,-2.6849910,-44.2982151
65082493,151,-2.5516769,-44.3335884
65057754,151,-2.5960982,-44.2314226
65066470,150,-2.5581577,-44.1204800
65058509,149,-2.5071484,-44.2518587
65058094,149,-2.5859632,-44.1889823
65060070,149,-2.5722816,-44.2409207
65031060,149,-9.6498487,-35.7089492
65095603,149,-2.6421134,-44.3081972
65057389,149,-2.5609298,-44.2329083
65044030,148,-2.5391099,-44.2829046
65072790,148,-2.4987074,-44.2402184
65090300,148,-2.6385477,-44.2696634
65063204,148,-2.5366536,-44.2298315
65093002,148,-2.5361999,-44.2357304
65060580,147,-2.5532035,-44.2226506
65037380,147,-2.5438764,-44.2669334
65065590,146,-2.5211304,-44.2175655
65010440,146,-2.5318499,-44.3042043
65076440,145,-2.5168427,-44.3025541
65077050,145,-2.5059985,-44.3006569
65068615,145,-2.4876762,-44.2121748
65067864,145,-2.4907500,-44.2251563
65095460,145,-2.6135988,-44.2598135
65092693,144,-2.6849910,-44.2982151
65082151,144,-2.5469877,-44.3177168
65085255,143,-2.5611256,-44.3353618
65080310,143,-2.5217339,-44.2643243
65075200,143,-2.5072686,-44.2959724
65044770,143,-2.5679862,-44.2630406
65036540,143,-2.5362346,-44.2717071
65050120,142,-2.5455610,-44.2201633
65058535,142,-2.5312701,-44.2447766
65030180,142,-2.5441667,-44.2825317
65064290,142,-2.5500159,-44.2247854
65041120,142,-2.9317693,-41.7535692
65058544,141,-2.5960901,-44.1974165
65046652,141,-2.5357808,-44.2271371
65015280,141,-2.5391099,-44.2829046
65082255,141,-2.5605273,-44.3205038
65080590,141,-16.5048603,-50.3819342
65085083,141,-2.5597462,-44.3263414
65074080,140,-2.5118634,-44.2465928
65058172,140,-2.5716146,-44.2012963
65058041,140,-2.5464064,-44.2109547
65015210,140,-2.5356606,-44.3009412
