ID_UNIDADE,CONSUMO,X,Y
8326576,201.0,-4.4438654999999985,-43.8812231
43738208,2460.0,-4.4438654999999985,-43.8812231
11208509,1517.0,-5.5256345,-47.4733386
3921,20175.44,-2.5112164,-44.3038815
38115812,1987.0,-2.5112164,-44.3038815
41749016,30.0,-2.5112164,-44.3038815
7374887,2416.0,-5.5069872,-45.24673079999999
35621571,16495.72,-5.5069872,-45.24673079999999
45198979,106.0,-5.5069872,-45.24673079999999
33306237,17037.26,-5.8219033,-46.1563473
5087597,5864.0,-3.7415492999999995,-43.360194899999996
9770747,562.0,-3.7415492999999995,-43.360194899999996
9630082,36129.41,-3.7415492999999995,-43.360194899999996
10145643,1037.0,-3.7415492999999995,-43.360194899999996
37546780,197.0,-3.7415492999999995,-43.360194899999996
38445537,455.0,-3.7415492999999995,-43.360194899999996
41271353,477.0,-3.7415492999999995,-43.360194899999996
42614220,722.0,-3.7415492999999995,-43.360194899999996
43187970,549.0,-3.7415492999999995,-43.360194899999996
2000228558,424.0,-3.7415492999999995,-43.360194899999996
2801,101838.03,-2.5246174,-44.2905911
835480,8264.71,-2.5246174,-44.2905911
1060228,30.0,-2.5246174,-44.2905911
34115168,177.0,-2.5246174,-44.2905911
34134618,152.0,-2.5246174,-44.2905911
5680050,1312.0,-3.4622214999999996,-44.776172499999994
5265860,7908.02,-3.5452786000000014,-43.9134036
38714686,30.0,-3.140946,-44.3251394
38714546,178.0,-3.140946,-44.3251394
41194049,30.0,-3.140946,-44.3251394
41193026,0.0,-3.140946,-44.3251394
41193077,208.0,-3.140946,-44.3251394
41194138,103.0,-3.140946,-44.3251394
33057300,5635.0,-2.6389418,-45.749835100000006
1965379,3901.0,-2.5184601000000004,-44.206733299999996
31645034,101.0,-2.5184601000000004,-44.206733299999996
36267780,30.0,-2.5184601000000004,-44.206733299999996
2000149105,231.0,-2.5011669999999997,-44.228877000000004
12870485,30.0,-3.6616788999999996,-45.3940625
2000095454,158.0,-2.8767612999999996,-44.674634000000005
13122717,26147.72,-1.4568219,-45.72459979999999
45315681,129.0,-5.497732,-46.9242978
1049623,758.0,-2.5015575,-44.288659100000004
42672033,770.0,-5.5074862,-47.4561229
2000197941,2002.0,-5.5074862,-47.4561229
2000197951,100.0,-5.5074862,-47.4561229
1968459,693.0,-2.5707741000000004,-44.2338348
2000022711,30.0,-1.5296495,-45.0770114
