ID_UNIDADE,CONSUMO,X,Y
8326576,201,-4.443865499999999,-43.8812231
43738208,2460,-4.443865499999999,-43.8812231
80241,2629,-22.7819449,-43.4293183
11208509,1517,-5.5256345,-47.4733386
3921,20175.44,-2.5112164,-44.3038815
38115812,1987,-2.5112164,-44.3038815
41749016,30,-2.5112164,-44.3038815
7374887,2416,-5.5069872,-45.24673079999999
35621571,16495.72,-5.5069872,-45.24673079999999
45198979,106,-5.5069872,-45.24673079999999
33306237,17037.26,-5.8219033,-46.1563473
5087597,5864,-3.7415493,-43.3601949
9770747,562,-3.7415493,-43.3601949
9630082,36129.41,-3.7415493,-43.3601949
10145643,1037,-3.7415493,-43.3601949
37546780,197,-3.7415493,-43.3601949
38445537,455,-3.7415493,-43.3601949
41271353,477,-3.7415493,-43.3601949
42614220,722,-3.7415493,-43.3601949
43187970,549,-3.7415493,-43.3601949
2000228558,424,-3.7415493,-43.3601949
2801,101838.03,-2.5246174,-44.2905911
835480,8264.71,-2.5246174,-44.2905911
1060228,30,-2.5246174,-44.2905911
34115168,177,-2.5246174,-44.2905911
34134618,152,-2.5246174,-44.2905911
5680050,1312,-3.4622215,-44.7761725
5265860,7908.02,-3.545278600000001,-43.9134036
38714686,30,-3.140946,-44.3251394
38714546,178,-3.140946,-44.3251394
41194049,30,-3.140946,-44.3251394
41193026,0,-3.140946,-44.3251394
41193077,208,-3.140946,-44.3251394
41194138,103,-3.140946,-44.3251394
33057300,5635,-2.6389418,-45.7498351
1965379,3901,-2.5184601,-44.2067333
31645034,101,-2.5184601,-44.2067333
36267780,30,-2.5184601,-44.2067333
2000149105,231,-2.501167,-44.228877
12870485,30,-3.6616789,-45.3940625
2000095454,158,-2.8767613,-44.674634
13122717,26147.72,-1.4568219,-45.7245998
45315681,129,-5.497732,-46.9242978
1049623,758,-2.5015575,-44.2886591
42672033,770,-5.5074862,-47.4561229
2000197941,2002,-5.5074862,-47.4561229
2000197951,100,-5.5074862,-47.4561229
1968459,693,-2.5707741,-44.2338348
2000022711,30,-1.5296495,-45.0770114
77119,4380,-2.5305055,-44.2977345
1390090,289,-2.5082965,-44.2268645
2000170054,100,,
44975092,247,-4.565677,-44.6268875
45640205,32,-2.5389174,-44.276157
11195083,0,-5.530020899999999,-47.4827064
11195121,553,-5.530020899999999,-47.4827064
42862916,341,-9.1124589,-45.9316922
2000178708,30,,
34499535,1023,-2.5370016,-44.2156899
145874,1285,-2.493194,-44.2811259
45073661,3485,-2.493194,-44.2811259
2000139029,192,-4.454081299999999,-45.23494729999999
7874383,911,-4.8779268,-43.3743445
44604809,261,-6.5579812,-47.450171
42493490,32,-5.1061135,-42.8295201
45628906,0,-5.5103472,-45.9278138
7718446,623,-5.585736,-44.379801
2000107497,173,-4.2456774,-44.782264
45354539,538,-2.502317,-44.237831
34105049,76,-2.5662885,-44.2268801
1568914,308,-2.5333888,-44.2092401
4742397,4056,-4.315144399999999,-46.4638967
78743,339,-2.5320663,-44.2999955
5990726,100,-4.5723406,-45.1299514
42102334,2295,-4.5723406,-45.1299514
15841389,30,-22.9070828,-43.18191480000001
6823025,425,-4.1283394,-44.130317
31584698,43,-9.975377,-67.8248977
10108519,20696.36,-3.3622022,-42.4242958
11383610,0,-5.476603,-47.4729537
10649188,2632,-7.520609,-46.0656141
10699479,0,-7.520609,-46.0656141
13658471,51,-5.507083799999999,-45.247022
4616545,20200.72,-3.9654999,-45.6617918
45252132,43,-2.2414468,-45.8529265
1066153,2491,-2.5040492,-44.2686778
39208555,173,-2.5040492,-44.2686778
40830332,799,-2.5040492,-44.2686778
7599102,3040,-5.037999399999999,-44.4332109
32146163,100,-2.7013998,-44.8276449
13344302,14147.57,-4.5816818,-44.58982049999999
10855080,381,-8.5538546,-46.8583507
34667616,46535,-8.5538546,-46.8583507
34667560,7963.41,-8.5538546,-46.8583507
34660298,100505.79,-8.5538546,-46.8583507
41906715,3323,-8.5538546,-46.8583507
6309879,7144.99,-4.2328107,-44.78218160000001
6352642,6056,-4.2328107,-44.78218160000001
38104977,2009,-2.2337782,-45.3007291
6672426,490,-5.5286627,-47.4809247
32719872,66,-5.5286627,-47.4809247
4726588,829,-4.314385,-46.4627592
32544452,1188,-2.5205723,-44.261118
10578108,11892.53,-7.5162643,-46.0572131
45177408,603,-7.5162643,-46.0572131
3540120,1529,-3.4591896,-44.8737581
5984424,106979.02,39.54866699999999,-8.979649199999999
1086669,5995,-2.4838628,-44.2504048
42176176,1038,-2.4838628,-44.2504048
12381468,30,-3.573803,-44.6810918
40111557,2983,-3.573803,-44.6810918
42167517,100,-3.573803,-44.6810918
5327253,1110,-2.932682,-44.2439401
45458164,606,-3.742250799999999,-43.36243109999999
6511279,510,-2.5097372,-44.2263191
31523940,273,-2.5097372,-44.2263191
42612537,100,-2.5097372,-44.2263191
44441292,3854,-2.5097372,-44.2263191
